P1	P2	P3	P4	path	fa	ncbi.path	ucsc.path
Eukaryota	Apicomplexa	P-R	Plasmodium falciparum 3D7 ASM276v2	genomes/Eukaryota/Pfalc2/	Pfalc2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/765/GCA_000002765.2_ASM276v2	none
Eukaryota	Bryophyta	P-R	Physcomitrella patens Mosses Phypa V3	genomes/Eukaryota/Ppate3/	Ppate3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/425/GCA_000002425.2_Phypa	none
Eukaryota	Cephalochordate	A-D	Branchiostoma floridae Lancelet May 2009 Version 2	genomes/Eukaryota/Bflor2/	Bflor2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.1_Version	none
Eukaryota	Echinodermata	S-T	Strongylocentrotus purpuratus S. purpuratus Mar. 2015 Spur 4.2	genomes/Eukaryota/Spurp5/	Spurp5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/235/GCA_000002235.3_Spur_4.2	none
Eukaryota	Euglenozoa	L-O	Leishmania major strain Friedlin ASM272v2	genomes/Eukaryota/Lmajo2/	Lmajo2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/725/GCA_000002725.2_ASM272v2	none
Eukaryota	Fungi	A-D	Absidia idahoensis var. thermophila	genomes/Eukaryota/Absi_idah_var_thermophila/	Absi_idah_var_thermophila	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/945/115/GCA_000945115.1_Lramosa_hybrid_454_Illumina	none
Eukaryota	Fungi	A-D	Agaricus bisporus var. bisporus H97	genomes/Eukaryota/Agar_bisp_var_bisporus_H97/	Agar_bisp_var_bisporus_H97	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/575/GCA_000300575.1_Agabi_varbisH97_2	none
Eukaryota	Fungi	A-D	Agaricus bisporus var. burnettii JB137-S8 JB137-s8	genomes/Eukaryota/Agar_bisp_var_burnettii_JB137_S8_JB137_s8/	Agar_bisp_var_burnettii_JB137_S8_JB137_s8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/555/GCA_000300555.1_Agabi_varbur_1	none
Eukaryota	Fungi	A-D	Allomyces macrogynus ATCC 38327	genomes/Eukaryota/Allo_macr_ATCC_38327/	Allo_macr_ATCC_38327	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/295/GCA_000151295.1_ASM15129v1	none
Eukaryota	Fungi	A-D	Amanita jacksonii TRTC168611	genomes/Eukaryota/Aman_jack_TRTC168611/	Aman_jack_TRTC168611	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/225/GCA_000497225.1_AmaJack1.0	none
Eukaryota	Fungi	A-D	Anncaliia algerae PRA109	genomes/Eukaryota/Annc_alge_PRA109/	Annc_alge_PRA109	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/855/GCA_000385855.2_Annc_alge_PRA109_V4	none
Eukaryota	Fungi	A-D	Anncaliia algerae PRA339	genomes/Eukaryota/Annc_alge_PRA339/	Annc_alge_PRA339	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/875/GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2	none
Eukaryota	Fungi	A-D	Arthroderma benhamiae CBS 112371	genomes/Eukaryota/Arth_benh_CBS_112371/	Arth_benh_CBS_112371	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/125/GCA_000151125.2_ASM15112v2	none
